"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"4870729",-121.456693166,39.024115163,2010,"5800","5","6","4","12",0,5,"A",,,,,,2400,8,"D","C","A","OAKLEY LN","DAIRY RD",0,,"Y","2011-09-01",9285,"2010-08-21",2315,"018107",,"3","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",2,"A","-",22450,"A","N","A","H","-","D","A","0","Y","A","07",0,0,5,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.45687,39.02439
"4870741",-121.56100319,39.088215161,2010,"5800","4","7","4","03",0,1,"A",,,,,,1800,8,"E","I","A","ARBOGA RD","11TH AV",0,,"Y","2011-08-16",9285,"2010-08-22",1740,"015873",,"2","9","0","2",,"1","022","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.56117,39.08826
"4870749",-121.558671853,39.127542499,2010,"5800","4","3","4","10",0,1,"A",,"Y",,,,1500,8,"D","G","A","NORTH BEALE RD","PARK AV",28,"W","N","2011-08-16",9285,"2010-08-04",1205,"016968",,"1","9","0","2",,"1","041","-","N",,0,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,1,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.55886,39.12769
"4870773",-121.558103434,39.111688931,2010,"5800","5","3","4","09",0,1,"A",,,"Y",,,900,8,"D","C","A","ERLE RD","RT 70",10,"E","N","2011-10-27",9285,"2010-08-25",720,"014878",,"1","9","0","3",,"2","002","-","Y","YUB",3,70,"-","R",10.03,"R","4","W","Y",2,"A","-",21801,"A","N","A","H","-","A","D","1","Y","C","02",0,0,1,0,0,0,0,0,1,"-","SO","UNINCORPORATED","YUBA","CA",-121.41415,39.22807
"4870789",-121.575734565,39.125635486,2010,"5800","4","5","4","03",0,1,"A",,,"Y",,,2100,8,"C","C","A","NORTH BEALE RD","FEATHER RIVER BL",17,"S","N","2011-08-16",9285,"2010-08-27",1955,"015048",,"2","9","0","2",,"1","041","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","C","A","0","Y","D","22",0,0,1,0,0,0,0,0,1,"-","-","UNINCORPORATED","YUBA","CA",-121.57536,39.12556
"4870913",-121.47162317,39.0406751642,2010,"5800","4","1","4","09",0,2,"A",,,,,,1800,7,"D","C","A","RT 65","S BEALE RD",0,,"Y","2011-10-19",9285,"2010-07-26",1700,"15873",,"2","9","0","2",,"2","025","-","Y","YUB",3,65,"-","-",4.099,"I","5","N","Y",2,"A","-",21802,"A","N","A","H","-","A","A","1","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.47155,39.04089
"4876300",-121.551012735,39.101377179,2010,"5800","5","3","4","08",0,1,"A",,,,,,1500,8,"E","I","A","POWERLINE RD","OLIVEHURST AV",25,"S","N","2011-08-18",9285,"2010-08-25",1355,"18475",,"1","9","0","3",,"2","002","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.5503,39.10158
"4876304",-121.244503192,39.483545219,2010,"5800","4","2","4","09",0,1,"A",,,,,,900,8,"D","C","A","LA PORTE RD","CHALLENGE CUTOFF RD",0,,"Y","2011-08-18",9285,"2010-08-24",830,"10840",,"1","9","0","2",,"2","082","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YUBA","CA",-121.24592,39.48378
"4877673",-121.595852858,39.145477624,2010,"5801","0","4","4","17",0,1,"A",,,,,,1800,9,"D","C","A","H ST","10TH ST",0,,"Y","2011-10-18",5801,"2010-09-02",1749,"303",,"5","3","0","0",,"0",,"-","Y","YUB",3,20,"-","-",0.675,"I","5","W","Y",3,"A","-",21461,"A","N","A","H","-","A","A","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","MARYSVILLE","YUBA","CA",0,0
"4878954",0,0,2010,"5801","0","7","3","01",0,1,"A",,,,,"Y",300,9,"B","I","A","KNNIFE RIVER RD","HALLWOOD BL",281,"S","N","2011-11-10",5801,"2010-09-05",127,"D1",,"5","3","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",1,"A","-",23153,,"F","A","G","-","D","D","0","Y","D","22",0,1,0,0,0,0,0,0,0,"-","-","MARYSVILLE","YUBA","CA",0,0
