"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"4006787",-121.693735725,38.907211471,2008,"5100","3","1","4","05",0,1,"B",,,,,,1200,12,"B","C","A","RT 113","KIRKVILLE RD",700,"S","N","2009-08-10",9285,"2008-12-08",955,"01396",,"1","9","0","1",,"1","031","-","Y","SUT",3,113,"-","-",7.51,"H","-","N","Y",2,"A","-",21650,,"N","A","H","-","A","D","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4006791",-121.64152322,39.218015166,2008,"5100","4","3","4","21",0,1,"A",,,,,,1200,12,"C","C","A","LIVE OAK BL","RT 99",28,"E","N","2009-08-18",9285,"2008-12-10",1025,"01223",,"1","9","0","2",,"2","073","-","Y","SUT",3,99,"-","T",35.96,"I","6","N","N",2,"A","-",22106,,"N","A","H","-","A","A","1","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4007174",-121.671763211,39.1125564575,2008,"5100","4","5","4","12",0,1,"B",,,,,,1800,12,"D","C","A","GEORGE WASHINGTON BL","LINCOLN RD",0,,"Y","2009-07-23",9285,"2008-12-05",1730,"01014",,"2","9","0","2",,"2","052","-","N",,0,0,,,0,,,,"Y",2,"A","-",22450,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4007182",-121.543548483,38.85956707,2008,"5100","3","3","3","08",0,2,"E",,,,,,300,12,"F","A","A","RT 70","STRIPLIN RD",528,"S","N","2009-08-21",9285,"2008-12-03",105,"17534",,"3","9","0","1",,"1","010","-","Y","SUT",3,70,"-","-",0.9,"H","-","E","Y",1,"A","-",22107,,"N","A","H","-","D","D","0","Y","D","22",0,1,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4007223",-121.689762205,39.141335158,2008,"5100","3","3","3","09",0,4,"B",,,,,,1800,12,"B","C","A","RT 20","TOWNSHIP RD",212,"W","N","2009-08-26",9285,"2008-12-03",1542,"11077",,"2","9","0","1",,"2","072","-","Y","SUT",3,20,"-","-",12.63,"H","-","E","Y",3,"A","-",21453,"C","F","A","H","-","A","A","0","Y","D","22",0,2,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4008647",0,0,2008,"5100","5","7","2","03",0,1,"A",,,"Y",,,1500,11,"F","A","A","ACACIA AV","FRANKLIN RD",1056,"N","N","2009-06-27",9285,"2008-11-16",1315,"15048",,"1","9","0","3",,"2","007","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","A","A","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4008667",-121.671973197,39.001570398,2008,"5100","3","3","4","03",0,1,"C",,,,,,1500,11,"E","I","A","RT 113","GEORGE WASHINGTON BL",500,"S","N","2009-07-20",9285,"2008-11-26",1315,"10790",,"1","9","0","1",,"1","031","-","Y","SUT",3,113,"-","-",14.2,"H","-","S","Y",1,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4008833",-121.634628637,39.112633853,2008,"5100","3","4","3","00",0,1,"A",,"Y",,,,600,9,"D","G","A","RT 99","LINCOLN RD",0,,"Y","2009-04-13",9285,"2008-09-11",530,"10790",,"3","9","0","1",,"1","051","-","Y","SUT",3,99,"-","-",28.66,"H","-","N","N",2,"D","-",0,,"N","A","H","-","C","A","0","Y","-","-",0,1,0,0,0,0,1,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4009138",-121.502634297,38.9073104858,2008,"5100","5","3","3","05",0,1,"B",,,,,,900,12,"E","I","A","NICOLAUS AV","PLEASANT GROVE RD",4224,"W","N","2009-07-23",9285,"2008-12-03",650,"11077",,"1","9","0","3",,"2","001","-","N",,0,0,,,0,,,,"Y",1,"A","-",21650,,"N","A","H","-","B","D","0","Y","D","22",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4009146",-121.494495843,38.7512130737,2008,"5100","5","1","4","03",0,2,"E",,,,,,900,12,"C","C","A","RIEGO RD","NATOMAS RD",35,"W","N","2009-07-23",9285,"2008-12-01",845,"14596",,"1","9","0","3",,"2","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","B","H","-","A","A","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
"4009150",-121.68728415,39.2324829102,2008,"5100","5","1","3","03",0,1,"E",,,,,,600,12,"E","I","A","TOWNSHIP RD","CLARK RD",39,"S","N","2009-07-23",9285,"2008-12-01",550,"11077",,"3","9","0","3",,"2","007","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","D","A","0","Y","A","07",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","SUTTER","CA",0,0
