"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6816043",-121.8564512,38.5484435,2015,"5700","5","5","4","03",0,2,"B",,,,,,1800,1,"F","A","A","RUSSELL BL","COUNTY ROAD 95A",185,"N","N","2015-03-04",9280,"2015-01-16",1635,"15079",,"2","9","0","3",,"2","003","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","B","H","-","A","D","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",-121.85639,38.54828
"6816039",-121.639141,38.5633677,2015,"5700","1","2","4","08",0,1,"B",,,,,,2100,1,"E","I","A","RT 80","WEBSTER ST",528,"W","N","2016-09-22",9280,"2015-01-27",2005,"13837",,"2","9","0","1",,"2","010","-","Y","YOL",3,80,"-","-",5.68,"H","-","W","Y",1,"A","-",22107,,"N","A","H","-","D","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",-121.64111,38.56304
"6816036",-121.7676632,38.5558151,2015,"5701","3","5","4","03",0,1,"A",,,,,,1800,1,"C","C","A","RT 113","COVELL BL",100,"S","N","2016-09-07",9280,"2015-01-23",1730,"15079",,"2","5","0","1",,"2","022","-","Y","YOL",3,113,"-","R",1.896,"R","1","N","Y",3,"A","-",22350,,"N","A","H","-","D","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","DAVIS","YOLO","CA",-121.76728,38.56019
"6816012",-121.5516842,38.5749498,2015,"5704","2","7","4","07",0,1,"A",,,,,,1200,1,"B","C","A","RT 50","HARBOR BL",1056,"W","N","2016-09-12",9280,"2015-01-11",1145,"17375",,"1","4","0","1",,"2","011","-","Y","YOL",3,50,"-","-",1.1,"H","-","E","N",3,"A","-",21658,"A","N","A","H","-","A","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",-121.55957,38.57511
"6816008",-121.5540331,38.5749551,2015,"5704","1","3","3","08",0,2,"A",,,,,,2400,1,"E","I","A","RT 80","RT 50",300,"N","N","2016-09-22",9280,"2015-01-14",2150,"16292",,"2","4","0","1",,"2","010","-","Y","YOL",3,50,"-","-",0.724,"R","2","E","Y",1,"A","-",22107,,"N","A","H","-","D","D","1","Y","A","01",0,1,1,0,0,0,0,0,0,"TO","-","WEST SACRAMENTO","YOLO","CA",-121.56301,38.57622
"6816004",-121.6877413,38.5544149,2015,"5701","1","3","4","03",0,2,"E",,,,,,900,1,"C","C","A","RT 80","MACE BL",1584,"E","N","2016-09-22",9280,"2015-01-21",830,"17629",,"1","5","0","1",,"2","010","-","Y","YOL",3,80,"-","-",2.98,"H","-","E","Y",3,"A","-",22350,,"N","B","H","-","A","D","1","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","DAVIS","YOLO","CA",-121.68486,38.55493
"6815914",-121.5675493,38.542894,2015,"5704","0","3","3","18",0,1,"A",,,,,,1500,2,"E","I","A","PROMENADE ST","GOLDEN GATE DR",200,"N","N","2015-03-05",5704,"2015-02-04",1235,"165",,"5","4","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",1,"C","-",0,,"N","A","H","-","A","D","0","Y","-","-",0,1,0,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",0,0
"6815724",-121.8699105,38.6700713,2015,"5700","3","3","3","05",0,1,"A",,,,,,2100,1,"A","C","A","RT 16","COUNTY ROAD 94B",262,"E","N","2016-09-07",9280,"2015-01-21",1925,"017351",,"2","9","0","1",,"2","034","-","Y","YOL",3,16,"-","-",36.76,"H","-","E","Y",2,"A","-",21650,,"F","A","H","-","C","D","0","Y","A","08",0,1,0,0,0,0,0,0,0,"-","-","UNINCORPORATED","YOLO","CA",-121.86977,38.67056
"6814083",-121.9727132,38.522365,2015,"5702","0","5","4","09",0,1,"B",,,,,,1500,1,"D","C","A","2ND ST","EDWARDS ST",0,,"Y","2015-02-18",5702,"2015-01-09",1202,"532",,"5","2","0","0",,"0","00A","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","A","A","0","Y","-",,0,0,1,0,0,0,0,0,0,"-","-","WINTERS","YOLO","CA",0,0
"6811917",-121.7159171,38.5488834,2015,"5701","0","5","4","03",0,1,"A",,,,,,1200,1,"C","C","A","2ND ST","PENA DR",100,"W","N","2016-04-06",5701,"2015-01-30",1145,"91","7","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","DAVIS","YOLO","CA",-121.71677,38.54878
"6811913",-121.7587826,38.546419,2015,"5701","0","6","4","09",0,1,"A",,"Y",,,,1800,1,"H","G","A","ANDERSON RD","RUSSELL BL",75,"N","N","2015-02-27",5701,"2015-01-10",1736,"103","2","5","5","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",21804,"A","N","A","H","-","C","D","0","Y","A","01",0,0,1,0,0,0,1,0,0,"-","-","DAVIS","YOLO","CA",-121.75894,38.54725
"6811909",-121.7200732,38.547945,2015,"5701","0","2","4","09",0,1,"A",,"Y",,,,1800,1,"H","G","A","CANTRILL DR","2ND ST",0,,"Y","2016-04-06",5701,"2015-01-27",1650,"91","7","5","5","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",21802,"A","N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,1,0,0,"-","-","DAVIS","YOLO","CA",-121.71995,38.54816
"6811583",-121.7386232,38.540815,2015,"5701","0","1","4","09",0,1,"A",,"Y",,,,2100,1,"H","G","A","OLIVE DR","RICHARDS BL",0,,"Y","2016-04-06",5701,"2015-01-12",2000,"91","8","5","5","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,1,0,0,"-","-","DAVIS","YOLO","CA",0,0
"6809148",-121.547143,38.5851122,2015,"5704","0","1","4","04",0,1,"A",,,,,,1500,2,"C","C","A","HARBOR BL","DULUTH ST",50,"N","N","2015-03-05",5704,"2015-02-09",1235,"00165",,"5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",4,"A","-",21703,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",0,0
"6808970",-121.5339843,38.566999,2015,"5704","0","4","4","18",0,1,"A",,,,,,1500,2,"C","E","A","PARK BL","ACORN CT",75,"N","N","2015-03-06",5704,"2015-02-12",1207,"00173","WSPD","5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",2,"C","-",0,,"N","A","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",0,0
"6804850",-121.5549041,38.5788792,2015,"5704","0","1","4","04",0,1,"B",,,,,,1200,1,"C","C","A","WEST CAPITOL AV","PINE ST",200,"E","N","2015-03-03",5704,"2015-01-19",1050,"00158","WSPD","5","4","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",2,"A","-",21703,,"N","A","H","-","A","D","0","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","WEST SACRAMENTO","YOLO","CA",0,0
