,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat1,0.056473427,0.018732453,0.130050986,0.053153187,0.280832926,0.135975752,0.370851208,0.200071146,relative.cycle.time,
ageCat2,0.277280703,0.16599711,0.55357233,0.3683049,1.134168694,0.704888829,1.194574346,0.753273026,,
ageCat3,1.328164402,1,1.159508811,1,1.520251404,1,1.846307339,1,,
ageCat4,0.395463471,0.255284001,0.583042373,0.384865663,1.023611043,0.518307878,1.027461242,0.484418932,,
ageCat5,0.306639772,0.262114531,0.455101743,0.247501216,0.70081716,0.397790038,0.646245421,0.440747381,,
ageCat6,0.134993594,0.097862886,0.293221106,0.225601119,0.522441011,0.423996573,0.782619396,0.675574092,,
ageCat7,0.091622294,0.159121746,0.333133664,0.162486025,0.635393007,0.173877378,0.43807677,0.26799823,,
ageCat8,0.096448693,0.072231068,0.485847312,0.174022005,0.371416834,0.151704597,0.291975642,0.158175312,,
, , , , , , , , , ,
ageCat1,1.0002325,0.999981714,0.999988449,1.000416473,1.000301344,0.999905246,0.999637027,1.000131432,relative.walk.speed,
ageCat2,1.000107103,1.000213392,1.000076386,1.000177465,1.000149357,1.000175914,1.000085908,1.000026359,,
ageCat3,0.999992819,1,1.000088052,1,0.999879982,1,0.999896671,1,,
ageCat4,1.000154433,1.00024263,0.999968806,0.999937614,1.000148311,1.000109328,1.000001934,0.999989289,,
ageCat5,1.000132978,1.000110845,1.000118864,1.000063915,1.000116599,1.000113607,0.999943284,0.99997791,,
ageCat6,1.00011172,1.000018807,1.000008928,0.999832789,0.999969578,1.000228454,0.99999866,1.00011946,,
ageCat7,0.999921385,1.000426354,0.999976474,1.000203468,1.00001724,1.000115117,0.999891073,0.999911342,,
ageCat8,0.99998413,0.99992872,0.999955643,0.999903287,0.99994638,1.000264535,0.999881931,1.000133208,,
, , , , , , , , , ,
ageCat1,1.000032262,1.000248557,1.000006999,0.999884275,1.000005369,0.999829081,1.000095054,0.999976339,relative.cycle.speed,
ageCat2,1.00010414,1.000062601,1.000079218,1.000038995,0.99995506,1.000126143,0.999996909,0.999871833,,
ageCat3,1.000002083,1,0.999933691,1,1.000064626,1,0.999886253,1,,
ageCat4,1.000024702,1.000008114,1.000023468,0.999997331,1.000034492,1.000017436,0.999934221,0.999922506,,
ageCat5,1.000010858,1.00002381,0.999929914,1.000037682,1.000052674,1.000153187,0.999874397,0.999905929,,
ageCat6,1.000041056,1.000076863,1.000152281,1.000027616,0.999885297,1.000052576,0.999872669,0.999881061,,
ageCat7,0.999902143,1.000154534,1.000010776,0.999989754,1.000021762,1.000085126,0.999912506,0.999948872,,
ageCat8,0.999929031,0.999935016,1.000178347,0.99988351,0.999948237,1.000458306,0.999862331,0.999870772,,
,,,,,,,,,,
ageCat1,0.20358918,0.214464703,0.280329775,0.328604308,0.284842838,0.300424677,0.554252443,0.553500339,relative.walk.time,YUB
ageCat2,1.743084045,1.79301975,1.497786909,1.878744936,1.51703633,1.724262205,1.458720574,1.882466453,,
ageCat3,0.775916892,1,0.907371543,1,0.795375978,1,0.949599782,1,,
ageCat4,0.634112841,0.715318329,0.622101091,0.782537343,0.600559487,0.599039074,1.062136862,0.875919455,,
ageCat5,0.588796647,0.620952893,0.488772959,0.674315516,0.656327436,0.683507974,0.694295256,0.698200346,,
ageCat6,0.414181093,0.542299242,0.386764371,0.346159929,0.541171834,0.542076689,0.59947083,0.587474844,,
ageCat7,0.41390678,0.31938546,0.359041482,0.330540667,0.297874502,0.322710832,0.503706084,0.46213432,,
ageCat8,0.314157026,0.471799632,0.337027969,0.489463732,0.364838464,0.296978074,0.203598104,0.167344391,,
, , , , , , , , , ,
