,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat8,0.882470174,0.235563535,1.66002253,0.143860712,0.774366481,0.020795486,0.506259892,0.584752576,,
, , , , , , , , , ,
ageCat1,1.000361056,1.00007187,1.000154375,0.999599359,1.000389782,0.999196746,0.999983846,1.002175043,relative.walk.speed,
ageCat2,1.000257479,1.000487462,0.999898001,0.999790537,0.999996321,0.99985872,1.00019274,1.000284851,,
ageCat3,1.000206538,1,0.999980022,1,1.000013447,1,0.999970623,1,,
ageCat4,1.000536245,1.000135222,0.999727635,1.000107853,0.999939315,1.00005126,1.000814421,0.99996797,,
ageCat5,1.000367215,1.000411892,0.999749619,1.000019654,1.000215377,1.000121219,1.000432341,1.00017049,,
ageCat6,0.999940963,1.000349383,0.999498338,1.000072387,0.999881643,0.999882804,1.000018307,0.999527418,,
ageCat7,1.000157143,1.000279702,0.999919041,1.000479639,0.999596561,1.000332455,1.001251801,0.999929312,,
ageCat8,1.000822032,1.000178501,0.99942193,1.000331295,1.000372689,1.000123146,1.000946925,0.999192472,,
, , , , , , , , , ,
ageCat1,1.00049519,0.999262174,1.000528311,1.001479529,1.000212357,0.999486593,0.999207401,1.00052568,relative.cycle.speed,
ageCat2,0.999856677,0.999995747,1.000338665,1.000240663,1.000059517,0.999586866,0.999850654,1.000045165,,
ageCat3,0.999920162,1,1.000628962,1,0.999973886,1,0.999720693,1,,
ageCat4,0.999834445,0.99961631,1.000468666,1.000033697,0.999815333,1.000184632,0.999826058,0.999679061,,
ageCat5,0.999902242,1.000011371,1.000231618,0.999969418,0.999872499,0.999775404,0.999735446,1.000278264,,
ageCat6,0.99929445,0.999457635,1.000772241,1.000041314,1.000127621,1.000215542,0.999525497,1.000107658,,
ageCat7,0.999359765,0.999796466,1.000438851,0.999409222,0.999966741,1.002310133,1.000235933,1.002475652,,
ageCat8,0.999410881,0.999988886,1.000784759,1.000096526,0.999343078,1.00535924,0.998728424,0.998785028,,
,,,,,,,,,,
ageCat1,0.188778253,0.187411878,0.221823409,0.322050677,0.441395153,0.406850788,0.317094899,0.50923329,relative.walk.time,YOL
ageCat2,1.238739932,1.283368571,1.266832569,1.396133374,1.328062998,1.614158387,1.117304806,1.417446615,,
ageCat3,0.738406523,1,0.822804566,1,0.813744188,1,0.742715331,1,,
ageCat4,0.654730986,0.969246939,0.627774526,0.933874276,0.768542178,0.953222275,0.639793528,0.871406067,,
