,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat4,1.000221218,0.999950908,0.999590859,0.99982045,0.999477067,0.999579414,0.99994317,1.000012461,,
ageCat5,1.000279746,0.999939786,0.99962715,1.000100173,0.99942749,0.999609003,1.000121946,1.00016465,,
ageCat6,1.000051113,0.999880208,0.99994165,1.000466559,1.0003008,0.999672723,0.9995467,0.999555666,,
ageCat7,0.999334059,1.000456774,0.99954771,1.000371265,0.999359393,0.9994848,1.000125623,0.999401325,,
ageCat8,0.999910566,0.999989528,0.999218342,0.99962906,0.999981335,1.000019674,0.999008555,1.001006986,,
, , , , , , , , , ,
ageCat1,1.000193411,0.998671175,1.000449796,0.999956201,1.000728475,1.000187084,0.998930325,0.999708996,relative.cycle.speed,
ageCat2,1.000299004,0.999742322,0.999985458,0.99983926,1.000001796,1.00042307,0.999919599,0.999844176,,
ageCat3,1.000130783,1,1.000099451,1,1.000182195,1,1.000043464,1,,
ageCat4,1.000166194,0.999915989,1.000232681,1.000327236,1.000106599,1.000142083,0.999887189,1.000206035,,
ageCat5,1.000253176,0.999801345,0.999943593,0.999870858,1.000121377,0.999890601,0.999837051,1.000332801,,
ageCat6,0.999934251,0.999452268,0.999022922,0.99982638,1.000310633,1.000912745,1.000105997,0.999436068,,
ageCat7,1.000046755,0.999657935,0.999717987,1.000362678,0.999345914,0.998099341,0.996653833,1.000095612,,
ageCat8,1.000046755,1.00064096,1.000488082,1.000028201,1.000613251,1.000258934,1.001536037,1.00446021,,
,,,,,,,,,,
ageCat1,0.176936377,0.189970847,0.310413894,0.257691888,0.420892584,0.401116945,0.496939311,0.564334485,relative.walk.time,YOL
ageCat2,1.264365222,1.210208623,1.458179521,1.465821928,1.366848977,1.582782788,1.423643974,1.563380847,,
ageCat3,0.743138603,1,0.851685467,1,0.772484393,1,0.921370689,1,,
ageCat4,0.652899987,0.963234921,0.607367187,0.881741072,0.657221102,0.849305287,0.846500924,0.898503195,,
ageCat5,0.693093544,0.821755043,0.634314612,0.760494973,0.655156375,0.876768645,0.701579034,0.873619119,,
ageCat6,0.540867903,0.828057763,0.545765977,0.849329778,0.693966538,0.777845733,0.708978537,0.85069634,,
