,male.Demogr.1,female.Demogr.1,male.Demogr.2,female.Demogr.2,male.Demogr.3,female.Demogr.3,male.Demogr.4,female.Demogr.4,,
ageCat8,1.000083091,0.999978769,0.999954312,1.000615691,0.999734689,1.000071009,0.999992631,1.000168956,,
,,,,,,,,,,
ageCat1,0.307754757,0.350341233,0.462227922,0,0.306657207,0.392659088,0.218388047,0.314066145,relative.walk.time,SUT
ageCat2,1.664551087,1.697214942,2.066639305,1.625567673,2.040250412,2.180347008,1.663356783,1.557178947,,
ageCat3,0.78924295,1,0.547368035,1,1.142468646,1,0.805300276,1,,
ageCat4,0.701455496,0.894166163,0.508840485,0.472268947,0.786547657,1.166613033,0.607115083,0.770053605,,
ageCat5,0.657454106,0.839204294,0.424613066,1.068956214,0.823698286,1.203740068,0.643513884,0.708674083,,
ageCat6,0.541616375,0.672524251,0,0.760318932,0.563804023,0.776392383,0.525737212,0.521027729,,
ageCat7,0.601929212,0.48766643,0,0,0.748734292,0.83200576,0.541455183,0.663337203,,
ageCat8,0.542160716,0.535538787,0,0,0.535125385,0.64715048,0.396676626,0.300243863,,
, , , , , , , , , ,
ageCat1,0.648918224,0.48560932,1.684941335,0,0.291904044,0.146434099,0.652498211,0.177214706,relative.cycle.time,
ageCat2,2.534830599,1.147931692,12.34397075,7.211002752,3.053103085,1.216669824,2.478484973,1.22892679,,
ageCat3,2.317699408,1,5.071311104,1,2.439402748,1,2.427184349,1,,
ageCat4,1.842491239,0.511271061,3.736939779,5.081595464,2.241833666,0.559244169,2.063301012,0.500535358,,
ageCat5,0.931667873,0.287975502,6.693622532,0,2.103974526,0.801501328,1.276975566,0.583401428,,
ageCat6,0.724009532,0.269317573,0,0,0.819462434,0.383089959,0.670793707,0.195649021,,
ageCat7,0.765161874,0.689398429,0,0,0.647051801,0.824913802,1.12382071,0.068502116,,
ageCat8,0.248666718,0.359056501,0,0,1.200599502,0.073180612,1.203196633,0.664093901,,
, , , , , , , , , ,
ageCat1,0.999966438,0.999797678,0.997805648,0,1.0021298,1.000547633,1.000199099,0.999627981,relative.walk.speed,
ageCat2,0.999808226,1.000022504,0.999742584,1.000144592,1.000255291,1.000288693,0.999748157,0.999934521,,
ageCat3,1.000017544,1,0.999989158,1,1.000319983,1,0.999739331,1,,
ageCat4,0.999685705,0.999855751,0.999187121,1.000019431,1.000394359,1.000335013,0.999795877,0.999647244,,
ageCat5,0.999920599,0.999972577,0.99859836,0.99874663,1.000259072,1.000469663,0.999715945,0.999936915,,
ageCat6,0.999921395,1.000073388,0,1.00006907,1.00087798,0.999881527,1.000087969,0.999925487,,
