"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6865888",-121.4766012,38.6296133,2015,"3404","0","1","4","03",0,1,"A",,,,,,1200,3,"C","C","A","SAN JUAN RD","NORTHGATE BL",291,"W","N","2015-04-09",3404,"2015-03-23",1011,"617",,"5","7","0","0",,"0","01C","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865840",0,0,2015,"3404","0","6","4","09",0,3,"A",,,,,,2100,3,"D","C","A","E COMMERCE WY","W ENTRANCE RD",0,,"Y","2015-04-09",3404,"2015-03-28",1811,"8129",,"5","7","0","0",,"0","01A","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","A","D","0","Y","A","08",0,0,3,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865836",-121.4339821,38.6385428,2015,"3404","0","7","4","08",0,1,"-",,,,,,1500,3,"-","-","A","HURON ST","HARRIS AV",72,"N","N","2015-04-10",3404,"2015-03-29",1403,"8129",,"5","7","0","0",,"0","02A","-","N",,0,0,,,0,,,,"Y",5,"A","-",22107,,"N","-","-","-","-","-","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865832",-121.491263,38.571105,2015,"3404","0","7","4","09",0,4,"A",,,,,,2100,3,"D","C","A","Q ST","14TH ST",0,,"Y","2015-04-09",3404,"2015-03-29",1823,"8129",,"5","7","0","0",,"0","03A","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","A","A","0","Y","A","01",0,0,4,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865828",-121.4182603,38.6310546,2015,"3404","0","5","2","09",0,1,"A",,,,,,1500,3,"D","C","A","DEL PASO BL","DAYTON ST",63,"S","N","2015-04-09",3404,"2015-03-27",1421,"0481","2","5","7","0","0",,"0","02B","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","A","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6865820",0,0,2015,"3404","0","1","4","03",0,1,"A",,,,,,1800,3,"C","C","A","E COMMERCE WY","ELKHORN BL",15,"S","N","2015-04-09",3404,"2015-03-30",1652,"8129",,"5","7","0","0",,"0","01A","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864706",-121.4920227,38.5626862,2015,"3404","0","1","4","08",0,1,"A",,,,"Y",,1200,3,"B","C","A","X ST","16TH ST",24,"W","N","2015-04-10",3404,"2015-03-30",1036,"0648",,"5","7","0","0",,"0",,"-","N",,0,0,,,0,,,,"N",2,"A","-",22100,"B","N","A","H","-","A","A","0","Y","G","25",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864702",-121.5121431,38.4956251,2015,"3404","0","1","4","12",0,1,"A",,,,,,1200,3,"D","C","A","FLORIN RD","SOUTH LAND PARK DR",0,,"Y","2015-04-18",3404,"2015-03-30",914,"15-87486",,"5","7","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","08",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864639",-121.4984178,38.5631855,2015,"3404","0","3","4","03",0,3,"A",,,,,,1500,3,"C","C","A","BROADWAY","RIVERSIDE BL",32,"E","N","2015-04-07",3404,"2015-03-25",1238,"0600",,"5","7","0","0",,"0",,"-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","07",0,0,3,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864635",0,0,2015,"3404","0","7","4","08",0,1,"A",,,,,,1500,3,"A","I","A","JESSIE AV","BURGESS DR",146,"E","N","2015-04-07",3404,"2015-03-22",1439,"0794",,"5","7","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
"6864631",-121.4812827,38.5770787,2015,"3404","0","5","4","04",0,1,"A",,,"Y",,,2100,3,"C","C","A","J ST","19TH ST",15,"W","N","2015-04-07",3404,"2015-03-27",2016,"880","P3","5","7","0","0",,"0","03B","-","N",,0,0,,,0,,,,"N",2,"A","-",21703,,"F","A","H","-","C","A","0","Y","C","06",0,0,1,0,0,0,0,0,0,"-","-","SACRAMENTO","SACRAMENTO","CA",0,0
